scope,n_res,n,f1_mean,auc_mean,ap_mean,acc_mean,bacc_mean,prec_mean,rec_mean,jac_mean,f1_std,auc_std,ap_std,acc_std,bacc_std,prec_std,rec_std,jac_std
a.128,10868.0,23.0,0.4187304853558751,0.9276307353492309,0.5187325649363125,0.8593977571300144,0.8240538147621019,0.2993935877497113,0.7853585864181339,0.27220119434460066,0.12069205345738176,0.027478655408167275,0.20411766994528077,0.03905038944920652,0.08390016059249665,0.11677839769623624,0.20915280518757912,0.10222589580551383
c.45,4571.0,14.0,0.2120175940379308,0.7544447081567297,0.24385874889585915,0.8364184730911193,0.5801137307779695,0.19755581340432174,0.2626655250333876,0.12188766939734504,0.10109452752587585,0.06707845629008376,0.07906617204460985,0.036671792539376386,0.07713045244123554,0.07569096152661361,0.17596507563919853,0.06306914119633435
a.208,522.0,2.0,0.5796010296010297,0.931700770493874,0.660579485194136,0.7964825656939327,0.8646496463306809,0.41526315789473683,0.9625,0.40987480838017376,0.07216675385854983,0.002567805981951989,0.094304880747812,0.010387660955413262,0.024797190723971147,0.06401177177057167,0.053033008588991036,0.0716320487328733
d.16,14852.0,20.0,0.5278635520800433,0.911195892992238,0.5422575976668222,0.8934956652536691,0.8004307379969202,0.4432459811948686,0.6937507382858752,0.386579666574869,0.22028142610270307,0.05864911940950078,0.29540395499753647,0.03323192282793663,0.09346590181914348,0.22001776353485275,0.17693416740276494,0.19809039434955392
e.22,4110.0,7.0,0.507579074882735,0.912232620299343,0.531717809533244,0.8785642581386277,0.819147976989555,0.38917227367522716,0.75223061070672,0.3512356887430674,0.1504012620961513,0.052608148297991424,0.24561363139179326,0.02123430079728245,0.07792002179687267,0.12983164802481847,0.16707012888181647,0.1294083853239447
b.3,4853.0,11.0,0.19746728333482863,0.7857694650450878,0.21757821323785667,0.7521274011361953,0.667905980110415,0.12170954154700254,0.5773620319074864,0.11168107164098161,0.08438723260303985,0.09898893397571774,0.17101192035648588,0.11850783865277441,0.12278519817778256,0.051208770524800364,0.3030171964642009,0.05018680198937062
c.39,659.0,1.0,0.1496598639455782,0.8180921052631579,0.1355360355920909,0.8103186646433991,0.6980674342105263,0.0859375,0.5789473684210527,0.0808823529411764,,,,,,,,
c.62,2002.0,5.0,0.12179749681764182,0.5872176839827816,0.11294641134039436,0.759312173537259,0.5040961837076343,0.08748982846727205,0.2007563025210084,0.06732265039542665,0.10083615965046473,0.12090099517727505,0.052761499600034824,0.08542450093345541,0.07747408363876453,0.07193987343874682,0.16873610334649317,0.057645691169962196
f.13,5240.0,10.0,0.2534624445591442,0.7706164188245922,0.23886404287394353,0.8222422938892825,0.6751984962610285,0.17385334244517503,0.5114946354262367,0.14943444269895917,0.11341413931217291,0.08930206632266109,0.15955497051864678,0.06085471402441685,0.11157097218376837,0.06904061716126507,0.2944881890370392,0.07396915330297751
d.145,6391.0,10.0,0.38817275519824584,0.8959039672365208,0.38386830518390525,0.8544966605257445,0.7924990040253136,0.2790060914563671,0.7221250275225685,0.25185886321416284,0.151455101499082,0.03567904034934603,0.20794226695530518,0.02296379625402089,0.04350020885652676,0.1501645460380649,0.08224109461744261,0.13083727371372156
d.108,18857.0,59.0,0.4141852953981895,0.8088721001371325,0.4318730047846049,0.7589507708426798,0.7098804220874672,0.3133811914785818,0.655579251494901,0.26998978273059654,0.13532168490176213,0.06852222051924674,0.19890766338907723,0.06937025188362288,0.07548592545843459,0.11197000896159029,0.22083251158151287,0.10566769191882518
c.98,870.0,2.0,0.39874110563765736,0.9624185090573836,0.6288094963385165,0.8316837964725289,0.9109799137808519,0.25021367521367516,1.0,0.25021367521367516,0.0700527243540039,0.006042502475730192,0.045367872476629725,0.03418445421038888,0.017628260154409145,0.05469501170716454,0.0,0.05469501170716454
c.61,5604.0,11.0,0.3029947964303787,0.8288322761142678,0.3189972523954498,0.8292044978234873,0.7193211109455816,0.20537606466195973,0.6038375156786919,0.19298151170463818,0.20163034528383442,0.11589565570552697,0.2290469534670068,0.03813863826192682,0.1656258857320968,0.14199893616924453,0.3695704594479576,0.13393375970086308
c.28,5117.0,9.0,0.38265392303533585,0.8445791709960796,0.37659924174785614,0.8854747185089656,0.72326246253056,0.3167818878848291,0.53846675489898,0.250155635163584,0.18226475410717974,0.07457548599613344,0.18787793990663346,0.03076061401936981,0.10335399075786096,0.16078191275713227,0.23127631242042732,0.13626369439407174
d.26,8731.0,17.0,0.34716336663542585,0.8645889792367064,0.37943800783446435,0.7678288246606606,0.7266909006182151,0.23697529278237012,0.7113260779852072,0.21787755075584334,0.13566754808557682,0.05974771973336289,0.23283448359643516,0.1764352776773776,0.06905770939557793,0.10196045074938394,0.23226602309382266,0.10171339403052124
